Accession,Release_Date,Species,Length,Geo_Location,Host,Isolation_Source,Collection_Date
MT451270,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29832,Australia: Victoria,Homo sapiens,,3/23/2020
MT451271,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29797,Australia: Victoria,Homo sapiens,,3/23/2020
MT451272,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29802,Australia: Victoria,Homo sapiens,,3/23/2020
MT451273,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29797,Australia: Victoria,Homo sapiens,,3/23/2020
MT451274,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29804,Australia: Victoria,Homo sapiens,,3/23/2020
MT451275,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29806,Australia: Victoria,Homo sapiens,,3/23/2020
MT451276,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,Australia: Victoria,Homo sapiens,,3/23/2020
MT451277,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29803,Australia: Victoria,Homo sapiens,,3/23/2020
MT451278,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29801,Australia: Victoria,Homo sapiens,,3/24/2020
MT451279,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29803,Australia: Victoria,Homo sapiens,,3/24/2020
MT451280,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29819,Australia: Victoria,Homo sapiens,,3/24/2020
MT451281,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,Australia: Victoria,Homo sapiens,,3/24/2020
MT451282,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29797,Australia: Victoria,Homo sapiens,,3/24/2020
MT451283,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29798,Australia: Victoria,Homo sapiens,,3/24/2020
MT451284,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29799,Australia: Victoria,Homo sapiens,,3/24/2020
MT451285,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29804,Australia: Victoria,Homo sapiens,,3/25/2020
MT451286,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,Australia: Victoria,Homo sapiens,,3/25/2020
MT451287,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29802,Australia: Victoria,Homo sapiens,,3/26/2020
MT451288,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29804,Australia: Victoria,Homo sapiens,,3/26/2020
MT451289,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29803,Australia: Victoria,Homo sapiens,,3/26/2020
MT451290,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29806,Australia: Victoria,Homo sapiens,,3/26/2020
MT451291,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29806,Australia: Victoria,Homo sapiens,,3/25/2020
MT451292,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29786,Australia: Victoria,Homo sapiens,,3/23/2020
MT451293,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,Australia: Victoria,Homo sapiens,,3/25/2020
MT451294,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,Australia: Victoria,Homo sapiens,,3/25/2020
MT451295,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29801,Australia: Victoria,Homo sapiens,,3/25/2020
MT451296,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29789,Australia: Victoria,Homo sapiens,,3/25/2020
MT451297,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29792,Australia: Victoria,Homo sapiens,,3/25/2020
MT451298,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29785,Australia: Victoria,Homo sapiens,,3/25/2020
MT451299,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29804,Australia: Victoria,Homo sapiens,,3/25/2020
MT451300,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29791,Australia: Victoria,Homo sapiens,,3/25/2020
MT451301,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29807,Australia: Victoria,Homo sapiens,,3/25/2020
MT451302,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29799,Australia: Victoria,Homo sapiens,,3/25/2020
MT451303,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,Australia: Victoria,Homo sapiens,,3/26/2020
MT451304,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29803,Australia: Victoria,Homo sapiens,,3/26/2020
MT451305,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29789,Australia: Victoria,Homo sapiens,,3/25/2020
MT451306,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29785,Australia: Victoria,Homo sapiens,,3/25/2020
MT451307,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29783,Australia: Victoria,Homo sapiens,,3/25/2020
MT451308,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29803,Australia: Victoria,Homo sapiens,,3/26/2020
MT451309,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29799,Australia: Victoria,Homo sapiens,,3/26/2020
MT451310,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29807,Australia: Victoria,Homo sapiens,,3/26/2020
MT451311,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29808,Australia: Victoria,Homo sapiens,,3/26/2020
MT451312,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29787,Australia: Victoria,Homo sapiens,,3/27/2020
MT451313,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29795,Australia: Victoria,Homo sapiens,,3/27/2020
MT451314,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,Australia: Victoria,Homo sapiens,,3/27/2020
MT451315,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,Australia: Victoria,Homo sapiens,,3/27/2020
MT451316,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,Australia: Victoria,Homo sapiens,,3/24/2020
MT451317,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,Australia: Victoria,Homo sapiens,,3/24/2020
MT451318,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,Australia: Victoria,Homo sapiens,,3/25/2020
MT451319,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29809,Australia: Victoria,Homo sapiens,,3/25/2020
MT451320,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29787,Australia: Victoria,Homo sapiens,,3/25/2020
MT451321,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29802,Australia: Victoria,Homo sapiens,,3/25/2020
MT451322,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29797,Australia: Victoria,Homo sapiens,,3/25/2020
MT451323,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,Australia: Victoria,Homo sapiens,,3/25/2020
MT451324,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,Australia: Victoria,Homo sapiens,,3/26/2020
MT451325,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29798,Australia: Victoria,Homo sapiens,,3/26/2020
MT451326,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29804,Australia: Victoria,Homo sapiens,,3/27/2020
MT451327,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29778,Australia: Victoria,Homo sapiens,,3/27/2020
MT451328,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,Australia: Victoria,Homo sapiens,,3/26/2020
MT451329,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29776,Australia: Victoria,Homo sapiens,,3/26/2020
MT451330,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29788,Australia: Victoria,Homo sapiens,,3/27/2020
MT451331,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29796,Australia: Victoria,Homo sapiens,,3/27/2020
MT451332,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29804,Australia: Victoria,Homo sapiens,,3/27/2020
MT451333,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29802,Australia: Victoria,Homo sapiens,,3/26/2020
MT451334,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29797,Australia: Victoria,Homo sapiens,,3/28/2020
MT451335,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29795,Australia: Victoria,Homo sapiens,,3/28/2020
MT451336,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29795,Australia: Victoria,Homo sapiens,,3/28/2020
MT451337,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29792,Australia: Victoria,Homo sapiens,,3/28/2020
MT451338,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29793,Australia: Victoria,Homo sapiens,,3/28/2020
MT451339,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29787,Australia: Victoria,Homo sapiens,,3/28/2020
MT451340,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29787,Australia: Victoria,Homo sapiens,,3/29/2020
MT451341,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29806,Australia: Victoria,Homo sapiens,,3/29/2020
MT451342,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,Australia: Victoria,Homo sapiens,,3/29/2020
MT451343,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29787,Australia: Victoria,Homo sapiens,,3/29/2020
MT451344,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29821,Australia: Victoria,Homo sapiens,,3/29/2020
MT451345,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29799,Australia: Victoria,Homo sapiens,,3/29/2020
MT451346,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29804,Australia: Victoria,Homo sapiens,,3/29/2020
MT451347,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29793,Australia: Victoria,Homo sapiens,,3/29/2020
MT451348,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29798,Australia: Victoria,Homo sapiens,,3/30/2020
MT451349,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29794,Australia: Victoria,Homo sapiens,,3/30/2020
MT451350,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,Australia: Victoria,Homo sapiens,,3/23/2020
MT451351,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29786,Australia: Victoria,Homo sapiens,,3/22/2020
MT451352,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29788,Australia: Victoria,Homo sapiens,,3/23/2020
MT451353,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29805,Australia: Victoria,Homo sapiens,,3/23/2020
MT451354,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,Australia: Victoria,Homo sapiens,,3/23/2020
MT451355,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29814,Australia: Victoria,Homo sapiens,,3/24/2020
MT451356,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,Australia: Victoria,Homo sapiens,,3/23/2020
MT451357,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29787,Australia: Victoria,Homo sapiens,,3/23/2020
MT451358,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29804,Australia: Victoria,Homo sapiens,,3/23/2020
MT451359,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,Australia: Victoria,Homo sapiens,,3/24/2020
MT451360,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29801,Australia: Victoria,Homo sapiens,,3/24/2020
MT451361,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29808,Australia: Victoria,Homo sapiens,,3/24/2020
MT451362,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29797,Australia: Victoria,Homo sapiens,,3/24/2020
MT451363,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29797,Australia: Victoria,Homo sapiens,,3/24/2020
MT451364,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,Australia: Victoria,Homo sapiens,,3/23/2020
MT451365,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29804,Australia: Victoria,Homo sapiens,,3/24/2020
MT451366,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,Australia: Victoria,Homo sapiens,,3/23/2020
MT451367,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,Australia: Victoria,Homo sapiens,,3/24/2020
MT451368,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29803,Australia: Victoria,Homo sapiens,,3/25/2020
MT451369,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29802,Australia: Victoria,Homo sapiens,,3/24/2020
MT451370,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29806,Australia: Victoria,Homo sapiens,,3/23/2020
MT451371,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,Australia: Victoria,Homo sapiens,,3/24/2020
MT451372,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29834,Australia: Victoria,Homo sapiens,,3/23/2020
MT451373,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29802,Australia: Victoria,Homo sapiens,,3/24/2020
MT451374,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29802,Australia: Victoria,Homo sapiens,,3/24/2020
MT451375,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,Australia: Victoria,Homo sapiens,,3/25/2020
MT451376,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29799,Australia: Victoria,Homo sapiens,,3/25/2020
MT451377,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,Australia: Victoria,Homo sapiens,,3/23/2020
MT451378,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,Australia: Victoria,Homo sapiens,,3/23/2020
MT451379,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,Australia: Victoria,Homo sapiens,,3/25/2020
MT451380,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29788,Australia: Victoria,Homo sapiens,,3/25/2020
MT451381,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29793,Australia: Victoria,Homo sapiens,,3/25/2020
MT451382,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,Australia: Victoria,Homo sapiens,,3/25/2020
MT451383,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,Australia: Victoria,Homo sapiens,,3/25/2020
MT451384,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,Australia: Victoria,Homo sapiens,,3/24/2020
MT451385,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29806,Australia: Victoria,Homo sapiens,,3/25/2020
MT451386,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29797,Australia: Victoria,Homo sapiens,,3/25/2020
MT451387,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29803,Australia: Victoria,Homo sapiens,,3/24/2020
MT451388,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29802,Australia: Victoria,Homo sapiens,,3/24/2020
MT451389,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29811,Australia: Victoria,Homo sapiens,,3/25/2020
MT451390,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,Australia: Victoria,Homo sapiens,,3/25/2020
MT451391,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,Australia: Victoria,Homo sapiens,,3/25/2020
MT451392,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29811,Australia: Victoria,Homo sapiens,,3/25/2020
MT451393,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29804,Australia: Victoria,Homo sapiens,,3/26/2020
MT451394,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,Australia: Victoria,Homo sapiens,,3/26/2020
MT451395,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,Australia: Victoria,Homo sapiens,,3/26/2020
MT451396,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29810,Australia: Victoria,Homo sapiens,,3/25/2020
MT451397,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29810,Australia: Victoria,Homo sapiens,,3/25/2020
MT451398,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,Australia: Victoria,Homo sapiens,,3/25/2020
MT451399,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29806,Australia: Victoria,Homo sapiens,,3/25/2020
MT451400,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29810,Australia: Victoria,Homo sapiens,,3/25/2020
MT451401,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29807,Australia: Victoria,Homo sapiens,,3/25/2020
MT451402,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,Australia: Victoria,Homo sapiens,,3/24/2020
MT451403,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,Australia: Victoria,Homo sapiens,,3/25/2020
MT451404,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29807,Australia: Victoria,Homo sapiens,,3/22/2020
MT451405,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,Australia: Victoria,Homo sapiens,,3/22/2020
MT451406,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29807,Australia: Victoria,Homo sapiens,,3/22/2020
MT451407,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29788,Australia: Victoria,Homo sapiens,,3/23/2020
MT451408,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29802,Australia: Victoria,Homo sapiens,,3/23/2020
MT451409,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29811,Australia: Victoria,Homo sapiens,,3/25/2020
MT451410,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29808,Australia: Victoria,Homo sapiens,,3/25/2020
MT451411,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,Australia: Victoria,Homo sapiens,,3/25/2020
MT451412,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,Australia: Victoria,Homo sapiens,,3/25/2020
MT451413,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29804,Australia: Victoria,Homo sapiens,,3/26/2020
MT451414,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29814,Australia: Victoria,Homo sapiens,,3/27/2020
MT451415,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,Australia: Victoria,Homo sapiens,,3/27/2020
MT451416,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29817,Australia: Victoria,Homo sapiens,,3/27/2020
MT451417,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29797,Australia: Victoria,Homo sapiens,,3/27/2020
MT451418,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,Australia: Victoria,Homo sapiens,,3/26/2020
MT451419,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,Australia: Victoria,Homo sapiens,,3/27/2020
MT451420,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,Australia: Victoria,Homo sapiens,,3/26/2020
MT451421,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29802,Australia: Victoria,Homo sapiens,,3/26/2020
MT451422,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29810,Australia: Victoria,Homo sapiens,,3/26/2020
MT451423,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29817,Australia: Victoria,Homo sapiens,,3/28/2020
MT451424,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,Australia: Victoria,Homo sapiens,,3/26/2020
MT451425,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,Australia: Victoria,Homo sapiens,,3/26/2020
MT451426,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,Australia: Victoria,Homo sapiens,,3/28/2020
MT451427,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29807,Australia: Victoria,Homo sapiens,,3/28/2020
MT451428,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,Australia: Victoria,Homo sapiens,,3/28/2020
MT451429,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,Australia: Victoria,Homo sapiens,,3/29/2020
MT451430,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,Australia: Victoria,Homo sapiens,,3/28/2020
MT451431,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,Australia: Victoria,Homo sapiens,,3/28/2020
MT451432,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29810,Australia: Victoria,Homo sapiens,,3/28/2020
MT451433,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29810,Australia: Victoria,Homo sapiens,,3/29/2020
MT451434,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,Australia: Victoria,Homo sapiens,,3/29/2020
MT451435,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29836,Australia: Victoria,Homo sapiens,,3/25/2020
MT451436,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,Australia: Victoria,Homo sapiens,,3/26/2020
MT451437,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29814,Australia: Victoria,Homo sapiens,,3/27/2020
MT451438,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29808,Australia: Victoria,Homo sapiens,,3/28/2020
MT451439,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,Australia: Victoria,Homo sapiens,,3/28/2020
MT451440,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29815,Australia: Victoria,Homo sapiens,,3/28/2020
MT451441,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,Australia: Victoria,Homo sapiens,,3/29/2020
MT451442,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29850,Australia: Victoria,Homo sapiens,,3/29/2020
MT451443,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29789,Australia: Victoria,Homo sapiens,,3/29/2020
MT451444,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29523,Australia: Victoria,Homo sapiens,,3/29/2020
MT451445,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29523,Australia: Victoria,Homo sapiens,,3/28/2020
MT451446,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29802,Australia: Victoria,Homo sapiens,,3/28/2020
MT451447,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,Australia: Victoria,Homo sapiens,,3/28/2020
MT451448,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,Australia: Victoria,Homo sapiens,,3/24/2020
MT451449,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,Australia: Victoria,Homo sapiens,,3/28/2020
MT451450,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29787,Australia: Victoria,Homo sapiens,,3/28/2020
MT451451,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29797,Australia: Victoria,Homo sapiens,,3/28/2020
MT451452,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29802,Australia: Victoria,Homo sapiens,,3/28/2020
MT451453,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29781,Australia: Victoria,Homo sapiens,,3/28/2020
MT451454,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,Australia: Victoria,Homo sapiens,,3/28/2020
MT451455,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29803,Australia: Victoria,Homo sapiens,,3/28/2020
MT451456,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29841,Australia: Victoria,Homo sapiens,,3/28/2020
MT451457,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29804,Australia: Victoria,Homo sapiens,,3/28/2020
MT451458,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29802,Australia: Victoria,Homo sapiens,,3/28/2020
MT451459,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,Australia: Victoria,Homo sapiens,,3/27/2020
MT451460,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29804,Australia: Victoria,Homo sapiens,,3/28/2020
MT451461,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29802,Australia: Victoria,Homo sapiens,,3/27/2020
MT451462,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29815,Australia: Victoria,Homo sapiens,,3/27/2020
MT451463,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29791,Australia: Victoria,Homo sapiens,,3/27/2020
MT451464,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29804,Australia: Victoria,Homo sapiens,,3/27/2020
MT451465,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29815,Australia: Victoria,Homo sapiens,,3/27/2020
MT451466,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29807,Australia: Victoria,Homo sapiens,,3/27/2020
MT451467,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29807,Australia: Victoria,Homo sapiens,,3/27/2020
MT451468,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29789,Australia: Victoria,Homo sapiens,,3/27/2020
MT451469,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29802,Australia: Victoria,Homo sapiens,,3/27/2020
MT451470,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,Australia: Victoria,Homo sapiens,,3/27/2020
MT451471,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29797,Australia: Victoria,Homo sapiens,,3/26/2020
